号码,中奖类型,倍率,奖金
561,未中奖,0,0
562,未中奖,0,0
563,未中奖,0,0
564,未中奖,0,0
565,对子,1,5
566,对子,1,5
567,顺子,5,25
568,未中奖,0,0
569,未中奖,0,0
570,未中奖,0,0
571,未中奖,0,0
572,未中奖,0,0
573,未中奖,0,0
574,未中奖,0,0
575,对子,1,5
576,未中奖,0,0
577,对子,1,5
578,未中奖,0,0
579,未中奖,0,0
580,未中奖,0,0
581,未中奖,0,0
582,未中奖,0,0
583,未中奖,0,0
584,未中奖,0,0
585,对子,1,5
586,未中奖,0,0
587,未中奖,0,0
588,对子,1,5
589,未中奖,0,0
590,未中奖,0,0
591,未中奖,0,0
592,未中奖,0,0
593,未中奖,0,0
594,未中奖,0,0
595,对子,1,5
596,未中奖,0,0
597,未中奖,0,0
598,未中奖,0,0
599,对子,1,5
600,对子,1,5
601,未中奖,0,0
602,未中奖,0,0
603,未中奖,0,0
604,未中奖,0,0
605,未中奖,0,0
606,对子,1,5
607,未中奖,0,0
608,未中奖,0,0
609,未中奖,0,0
610,未中奖,0,0
611,对子,1,5
612,未中奖,0,0
613,未中奖,0,0
614,未中奖,0,0
615,未中奖,0,0
616,对子,1,5
617,未中奖,0,0
618,未中奖,0,0
619,未中奖,0,0
620,未中奖,0,0
621,未中奖,0,0
622,对子,1,5
623,未中奖,0,0
624,未中奖,0,0
625,未中奖,0,0
626,对子,1,5
627,未中奖,0,0
628,未中奖,0,0
629,未中奖,0,0
630,未中奖,0,0
631,未中奖,0,0
632,未中奖,0,0
633,对子,1,5
634,未中奖,0,0
635,未中奖,0,0
636,对子,1,5
637,未中奖,0,0
638,未中奖,0,0
639,未中奖,0,0
640,未中奖,0,0
641,未中奖,0,0
642,未中奖,0,0
643,未中奖,0,0
644,对子,1,5
645,未中奖,0,0
646,对子,1,5
647,未中奖,0,0
648,未中奖,0,0
649,未中奖,0,0
650,未中奖,0,0
651,未中奖,0,0
652,未中奖,0,0
653,未中奖,0,0
654,顺子,5,25
655,对子,1,5
656,对子,1,5
657,未中奖,0,0
658,未中奖,0,0
659,未中奖,0,0
660,对子,1,5
661,对子,1,5
662,对子,1,5
663,对子,1,5
664,对子,1,5
665,对子,1,5
666,豹子,20,100
667,对子,1,5
668,对子,1,5
669,对子,1,5
670,未中奖,0,0
671,未中奖,0,0
672,未中奖,0,0
673,未中奖,0,0
674,未中奖,0,0
675,未中奖,0,0
676,对子,1,5
677,对子,1,5
678,顺子,5,25
679,未中奖,0,0
680,未中奖,0,0
681,未中奖,0,0
682,未中奖,0,0
683,未中奖,0,0
684,未中奖,0,0
685,未中奖,0,0
686,对子,1,5
687,未中奖,0,0
688,对子,1,5
689,未中奖,0,0
690,未中奖,0,0
691,未中奖,0,0
692,未中奖,0,0
693,未中奖,0,0
694,未中奖,0,0
695,未中奖,0,0
696,对子,1,5
697,未中奖,0,0
698,未中奖,0,0
699,对子,1,5
700,对子,1,5
701,未中奖,0,0
702,未中奖,0,0
703,未中奖,0,0
704,未中奖,0,0
705,未中奖,0,0
706,未中奖,0,0
707,对子,1,5
708,未中奖,0,0
709,未中奖,0,0
710,未中奖,0,0
711,对子,1,5
712,未中奖,0,0
713,未中奖,0,0
714,未中奖,0,0
715,未中奖,0,0
716,未中奖,0,0
717,对子,1,5
718,未中奖,0,0
719,未中奖,0,0
720,未中奖,0,0
721,未中奖,0,0
722,对子,1,5
723,未中奖,0,0
724,未中奖,0,0
725,未中奖,0,0
726,未中奖,0,0
727,对子,1,5
728,未中奖,0,0
729,未中奖,0,0
730,未中奖,0,0
731,未中奖,0,0
732,未中奖,0,0
733,对子,1,5
734,未中奖,0,0
735,未中奖,0,0
736,未中奖,0,0
737,对子,1,5
738,未中奖,0,0
739,未中奖,0,0
740,未中奖,0,0
741,未中奖,0,0
742,未中奖,0,0
743,未中奖,0,0
744,对子,1,5
745,未中奖,0,0
746,未中奖,0,0
747,对子,1,5
748,未中奖,0,0
749,未中奖,0,0
750,未中奖,0,0
751,未中奖,0,0
752,未中奖,0,0
753,未中奖,0,0
754,未中奖,0,0
755,对子,1,5
756,未中奖,0,0
757,对子,1,5
758,未中奖,0,0
759,未中奖,0,0
760,未中奖,0,0
761,未中奖,0,0
762,未中奖,0,0
763,未中奖,0,0
764,未中奖,0,0
765,顺子,5,25
766,对子,1,5
767,对子,1,5
768,未中奖,0,0
769,未中奖,0,0
770,对子,1,5
771,对子,1,5
772,对子,1,5
773,对子,1,5
774,对子,1,5
775,对子,1,5
776,对子,1,5
777,豹子,20,100
778,对子,1,5
779,对子,1,5
780,未中奖,0,0
781,未中奖,0,0
782,未中奖,0,0
783,未中奖,0,0
784,未中奖,0,0
785,未中奖,0,0
786,未中奖,0,0
787,对子,1,5
788,对子,1,5
789,顺子,5,25
790,未中奖,0,0
791,未中奖,0,0
792,未中奖,0,0
793,未中奖,0,0
794,未中奖,0,0
795,未中奖,0,0
796,未中奖,0,0
797,对子,1,5
798,未中奖,0,0
799,对子,1,5
800,对子,1,5
801,未中奖,0,0
802,未中奖,0,0
803,未中奖,0,0
804,未中奖,0,0
805,未中奖,0,0
806,未中奖,0,0
807,未中奖,0,0
808,对子,1,5
809,未中奖,0,0
810,未中奖,0,0
811,对子,1,5
812,未中奖,0,0
813,未中奖,0,0
814,未中奖,0,0
815,未中奖,0,0
816,未中奖,0,0
817,未中奖,0,0
818,对子,1,5
819,未中奖,0,0
820,未中奖,0,0
821,未中奖,0,0
822,对子,1,5
823,未中奖,0,0
824,未中奖,0,0
825,未中奖,0,0
826,未中奖,0,0
827,未中奖,0,0
828,对子,1,5
829,未中奖,0,0
830,未中奖,0,0
831,未中奖,0,0
832,未中奖,0,0
833,对子,1,5
834,未中奖,0,0
835,未中奖,0,0
836,未中奖,0,0
837,未中奖,0,0
838,对子,1,5
839,未中奖,0,0
840,未中奖,0,0
841,未中奖,0,0
842,未中奖,0,0
843,未中奖,0,0
844,对子,1,5
845,未中奖,0,0
846,未中奖,0,0
847,未中奖,0,0
848,对子,1,5
849,未中奖,0,0
850,未中奖,0,0
851,未中奖,0,0
852,未中奖,0,0
853,未中奖,0,0
854,未中奖,0,0
855,对子,1,5
856,未中奖,0,0
857,未中奖,0,0
858,对子,1,5
859,未中奖,0,0
860,未中奖,0,0
861,未中奖,0,0
862,未中奖,0,0
863,未中奖,0,0
864,未中奖,0,0
865,未中奖,0,0
866,对子,1,5
867,未中奖,0,0
868,对子,1,5
869,未中奖,0,0
870,未中奖,0,0
871,未中奖,0,0
872,未中奖,0,0
873,未中奖,0,0
874,未中奖,0,0
875,未中奖,0,0
876,顺子,5,25
877,对子,1,5
878,对子,1,5
879,未中奖,0,0
880,对子,1,5
881,对子,1,5
882,对子,1,5
883,对子,1,5
884,对子,1,5
885,对子,1,5
886,对子,1,5
887,对子,1,5
888,豹子,20,100
889,对子,1,5
890,未中奖,0,0
891,未中奖,0,0
892,未中奖,0,0
893,未中奖,0,0
894,未中奖,0,0
895,未中奖,0,0
896,未中奖,0,0
897,未中奖,0,0
898,对子,1,5
899,对子,1,5
900,对子,1,5
901,未中奖,0,0
902,未中奖,0,0
903,未中奖,0,0
904,未中奖,0,0
905,未中奖,0,0
906,未中奖,0,0
907,未中奖,0,0
908,未中奖,0,0
909,对子,1,5
910,未中奖,0,0
911,对子,1,5
912,未中奖,0,0
913,未中奖,0,0
914,未中奖,0,0
915,未中奖,0,0
916,未中奖,0,0
917,未中奖,0,0
918,未中奖,0,0
919,对子,1,5
920,未中奖,0,0
921,未中奖,0,0
922,对子,1,5
923,未中奖,0,0
924,未中奖,0,0
925,未中奖,0,0
926,未中奖,0,0
927,未中奖,0,0
928,未中奖,0,0
929,对子,1,5
930,未中奖,0,0
931,未中奖,0,0
932,未中奖,0,0
933,对子,1,5
934,未中奖,0,0
935,未中奖,0,0
936,未中奖,0,0
937,未中奖,0,0
938,未中奖,0,0
939,对子,1,5
940,未中奖,0,0
941,未中奖,0,0
942,未中奖,0,0
943,未中奖,0,0
944,对子,1,5
945,未中奖,0,0
946,未中奖,0,0
947,未中奖,0,0
948,未中奖,0,0
949,对子,1,5
950,未中奖,0,0
951,未中奖,0,0
952,未中奖,0,0
953,未中奖,0,0
954,未中奖,0,0
955,对子,1,5
956,未中奖,0,0
957,未中奖,0,0
958,未中奖,0,0
959,对子,1,5
960,未中奖,0,0
961,未中奖,0,0
962,未中奖,0,0
963,未中奖,0,0
964,未中奖,0,0
965,未中奖,0,0
966,对子,1,5
967,未中奖,0,0
968,未中奖,0,0
969,对子,1,5
970,未中奖,0,0
971,未中奖,0,0
972,未中奖,0,0
973,未中奖,0,0
974,未中奖,0,0
975,未中奖,0,0
976,未中奖,0,0
977,对子,1,5
978,未中奖,0,0
979,对子,1,5
980,未中奖,0,0
981,未中奖,0,0
982,未中奖,0,0
983,未中奖,0,0
984,未中奖,0,0
985,未中奖,0,0
986,未中奖,0,0
987,顺子,5,25
988,对子,1,5
989,对子,1,5
990,对子,1,5
991,对子,1,5
992,对子,1,5
993,对子,1,5
994,对子,1,5
995,对子,1,5
996,对子,1,5
997,对子,1,5
998,对子,1,5
999,豹子,20,100
